marca;preco;link;tamanho;taxa_atualizacao
"Monitor Gamer LG 21.5"", 75Hz, Full HD, HDMI, FreeSync - 22MP410-B";R$ 549,99;https://www.kabum.com.br/produto/397845/monitor-gamer-lg-21-5-75hz-full-hd-hdmi-freesync-22mp410-b;21.5;75
Monitor Gamer LG 27 Full HD, IPS, HDMI e VESA, FreeSync, Ajuste de Ângulo, Bordas Finas - 27MP400-B;R$ 699,99;https://www.kabum.com.br/produto/323895/monitor-gamer-lg-27-full-hd-ips-hdmi-e-vesa-freesync-ajuste-de-angulo-bordas-finas-27mp400-b;;
"Monitor Gamer AOC 23.8"" Full HD, 100Hz, 1ms, IPS, DisplayPort e HDMI, Adaptive-Sync - 24G2E1";R$ 629,99;https://www.kabum.com.br/produto/525503/monitor-gamer-aoc-23-8-full-hd-100hz-1ms-ips-displayport-e-hdmi-adaptive-sync-24g2e1;23.8;100
"Monitor Gamer Curvo KBM! GAMING MG210 23.6"", 180Hz, Full HD, 1ms, DisplayPort e HDMI, Adaptive Sync, Ajuste de Ângulo - KGMG21023PT";R$ 799,99;https://www.kabum.com.br/produto/471916/monitor-gamer-curvo-kbm-gaming-mg210-23-6-180hz-full-hd-1ms-displayport-e-hdmi-adaptive-sync-ajuste-de-angulo-kgmg21023pt;23.6;180
"Monitor Gamer Concórdia PCFort 23.8"", 165Hz, Full HD, 1ms, DisplayPort e HDMI, FreeSync, Preto e Prata - H238F165";R$ 599,99;https://www.kabum.com.br/produto/365027/monitor-gamer-concordia-pcfort-23-8-165hz-full-hd-1ms-displayport-e-hdmi-freesync-preto-e-prata-h238f165;23.8;165
"Monitor Gamer LG UltraGear 27"" IPS Full HD, 180Hz, 1ms, DisplayPort e HDMI, G-Sync, FreeSync, HDR10, sRGB 99%, Preto - 27GS60F-B";R$ 1.099,00;https://www.kabum.com.br/produto/620992/monitor-gamer-lg-ultragear-27-ips-full-hd-180hz-1ms-displayport-e-hdmi-g-sync-freesync-hdr10-srgb-99-preto-27gs60f-b;27;180
"Monitor Gamer LG UltraGear 27"", 144Hz, Full HD, 1ms, IPS, DisplayPort e HDMI, HDR 10, 99% sRGB, FreeSync Premium, VESA - 27GN65R";R$ 1.099,99;https://www.kabum.com.br/produto/444038/monitor-gamer-lg-ultragear-27-144hz-full-hd-1ms-ips-displayport-e-hdmi-hdr-10-99-srgb-freesync-premium-vesa-27gn65r;27;144
"Monitor Gamer Curvo LG UltraGear LG 34"", UltraWide, 160Hz, WQHD, 1ms, DisplayPort e HDMI, AMD FreeSync Premium, HDR10, 99% sRGB - 34GP63A-B";R$ 2.199,99;https://www.kabum.com.br/produto/472908/monitor-gamer-curvo-lg-ultragear-lg-34-ultrawide-160hz-wqhd-1ms-displayport-e-hdmi-amd-freesync-premium-hdr10-99-srgb-34gp63a-b;34;160
"Monitor Gamer Samsung 24"", 75Hz, Full HD, IPS, HDMI FreeSync, Preto - LF24T350FHLMZD";R$ 749,99;https://www.kabum.com.br/produto/168368/monitor-gamer-samsung-24-75hz-full-hd-ips-hdmi-freesync-preto-lf24t350fhlmzd;24;75
"Monitor Gamer Curvo KBM! GAMING MG700 27"", 240hz, Full HD, 1ms, DisplayPort e HDMI, 96% SRGB, Adaptive Sync, Ajuste De Altura - KGMG70027PT";R$ 1.059,99;https://www.kabum.com.br/produto/471917/monitor-gamer-curvo-kbm-gaming-mg700-27-240hz-full-hd-1ms-displayport-e-hdmi-96-srgb-adaptive-sync-ajuste-de-altura-kgmg70027pt;27;240
"Monitor Gamer LG UltraGear 27"" Wide, 240Hz, Full HD, 1ms, IPS, DisplayPort e HDMI, FreeSync Premium, HDR 10, 99% sRGB, VESA - 27GN750-B.AWZ";R$ 1.699,99;https://www.kabum.com.br/produto/156100/monitor-gamer-lg-ultragear-27-wide-240hz-full-hd-1ms-ips-displayport-e-hdmi-freesync-premium-hdr-10-99-srgb-vesa-27gn750-b-awz;27;240
"Monitor Gamer LG UltraGear 32"", 165Hz, QHD, 1ms, DisplayPort e HDMI, 95% sRGB, FreeSync Premium, HDR 10, VESA, Preto - 32GN600-B";R$ 1.599,99;https://www.kabum.com.br/produto/364835/monitor-gamer-lg-ultragear-32-165hz-qhd-1ms-displayport-e-hdmi-95-srgb-freesync-premium-hdr-10-vesa-preto-32gn600-b;32;165
"Monitor Gamer Samsung T350, Tela Plana, 24"" FULL HD, 75Hz, 5Ms, HDMI, FreeSync, Game Mode";R$ 565,00;https://www.kabum.com.br/produto/254367/monitor-gamer-samsung-t350-tela-plana-24-full-hd-75hz-5ms-hdmi-freesync-game-mode;24;75
"Monitor Gamer LG UltraGear 24"" Full HD, IPS, 180Hz, 1ms, DisplayPort e HDMI, NVIDIA G-SYNC , AMD FreeSync?, HDR10, sRGB 99% - 24GS60F-B";R$ 977,41;https://www.kabum.com.br/produto/614879/monitor-gamer-lg-ultragear-24-full-hd-ips-180hz-1ms-displayport-e-hdmi-nvidia-g-sync-amd-freesync-hdr10-srgb-99-24gs60f-b;24;180
"Monitor Gamer LG 26"" Ultra Wide, 75Hz, Full HD, 1ms, IPS, HDMI, FreeSync Premium, HDR 10, 99% sRGB, VESA - 26WQ500";R$ 729,99;https://www.kabum.com.br/produto/371253/monitor-gamer-lg-26-ultra-wide-75hz-full-hd-1ms-ips-hdmi-freesync-premium-hdr-10-99-srgb-vesa-26wq500;26;75
"Monitor Gamer Curvo KBM! GAMING MG320 27"", 180Hz, Full Hd, 1ms, DisplayPort e HDMI, Adaptive Sync, Ajuste De Ângulo - KGMG32027PT";R$ 919,99;https://www.kabum.com.br/produto/471914/monitor-gamer-curvo-kbm-gaming-mg320-27-180hz-full-hd-1ms-displayport-e-hdmi-adaptive-sync-ajuste-de-angulo-kgmg32027pt;27;180
"Monitor Gamer KBM! GAMING MG100 24"", 100hz, Full HD, HDMI E VGA, Ajuste De Ângulo - KGMG10024PT";R$ 599,99;https://www.kabum.com.br/produto/496350/monitor-gamer-kbm-gaming-mg100-24-100hz-full-hd-hdmi-e-vga-ajuste-de-angulo-kgmg10024pt;24;100
"Monitor Gamer Curvo Concórdia, 23.8"" Led Full HD, 100Hz, 5ms, HDMI, VGA, USB - Cz238f";R$ 529,90;https://www.kabum.com.br/produto/504128/monitor-gamer-curvo-concordia-23-8-led-full-hd-100hz-5ms-hdmi-vga-usb-cz238f;23.8;100
"Monitor Gamer Aoc 27"", 165hz, Full Hd, 1ms, Displayport, HDMI E Vga, Ajuste De Altura - 27g2s/bk";R$ 899,10;https://www.kabum.com.br/produto/586255/monitor-gamer-aoc-27-165hz-full-hd-1ms-displayport-hdmi-e-vga-ajuste-de-altura-27g2s-bk;27;165
"Monitor Gamer Curvo KBM! GAMING MG330 31.5"", 165Hz, Full Hd, 1ms, DisplayPort e HDMI, Adaptive Sync, Ajuste De Ângulo - KGMG33031PT";R$ 1.199,99;https://www.kabum.com.br/produto/471915/monitor-gamer-curvo-kbm-gaming-mg330-31-5-165hz-full-hd-1ms-displayport-e-hdmi-adaptive-sync-ajuste-de-angulo-kgmg33031pt;31.5;165
"Monitor Gamer Samsung Odyssey G30, FULL HD, Tela Plana, 24"", Painel VA, 144Hz, 1Ms, HDMI, FreeSync Premium";R$ 789,00;https://www.kabum.com.br/produto/461715/monitor-gamer-samsung-odyssey-g30-full-hd-tela-plana-24-painel-va-144hz-1ms-hdmi-freesync-premium;24;144
"Monitor Gamer AOC 23,8"", 165Hz Full HD, 1ms, DisplayPort, HDMI e VGA, Ajuste de Altura - 24G2S/BK";R$ 1.100,00;https://www.kabum.com.br/produto/525511/monitor-gamer-aoc-23-8-165hz-full-hd-1ms-displayport-hdmi-e-vga-ajuste-de-altura-24g2s-bk;8;165
Monitor Asus TUF Gaming 27 Full HD, 165Hz, 1ms, IPS, HDMI e DisplayPort, FreeSync Premium, VESA - VG279Q1A;R$ 1.099,00;https://www.kabum.com.br/produto/406136/monitor-asus-tuf-gaming-27-full-hd-165hz-1ms-ips-hdmi-e-displayport-freesync-premium-vesa-vg279q1a;;165
Monitor Gamer Curvo Concórdia 27'', 100Hz, Led FULL HD, HDMI, VGA - Cz270f;R$ 750,55;https://www.kabum.com.br/produto/504136/monitor-gamer-curvo-concordia-27-100hz-led-full-hd-hdmi-vga-cz270f;27;100
"Monitor Gamer KBM! GAMING MG800 34"", Ultrawide, 180Hz, QHD, 1ms, DisplayPort e HDMI, Adaptive Sync, 95% SRGB - KGMG80034PT";R$ 2.099,99;https://www.kabum.com.br/produto/471913/monitor-gamer-kbm-gaming-mg800-34-ultrawide-180hz-qhd-1ms-displayport-e-hdmi-adaptive-sync-95-srgb-kgmg80034pt;34;180
"Monitor Gamer Samsung Odyssey G32 27"", 165Hz, Full HD, 1ms, DisplayPort e HDMI, FreeSync Premium, Ajuste de Altura, Preto - LS27AG320NLXZD";R$ 1.199,99;https://www.kabum.com.br/produto/364670/monitor-gamer-samsung-odyssey-g32-27-165hz-full-hd-1ms-displayport-e-hdmi-freesync-premium-ajuste-de-altura-preto-ls27ag320nlxzd;27;165
"Monitor Gamer LG 29"" LED, Ultra Wide, 75Hz, Full HD, IPS, DisplayPort e HDMI, FreeSync, 99% sRGB, VESA, Preto - 29UM69G-B";R$ 1.099,99;https://www.kabum.com.br/produto/90224/monitor-gamer-lg-29-led-ultra-wide-75hz-full-hd-ips-displayport-e-hdmi-freesync-99-srgb-vesa-preto-29um69g-b;29;75
Monitor Gamer ASUS TUF VG27AQL3A, 27 QHD, 180Hz, Fast IPS, 1ms, Freesync Premium, G-Sync, 130% sRGB, DisplayHDR 400 - 90LM09A0-B013X0;R$ 2.299,99;https://www.kabum.com.br/produto/518329/monitor-gamer-asus-tuf-vg27aql3a-27-qhd-180hz-fast-ips-1ms-freesync-premium-g-sync-130-srgb-displayhdr-400-90lm09a0-b013x0;;180
"Monitor Gamer KBM! GAMING MG250 - 25"" LED Full HD, 180Hz, 1ms, HDMI e DisplayPort, Adaptive Sync, Ajuste de Ângulo - KGMG25025PT";R$ 799,99;https://www.kabum.com.br/produto/519139/monitor-gamer-kbm-gaming-mg250-25-led-full-hd-180hz-1ms-hdmi-e-displayport-adaptive-sync-ajuste-de-angulo-kgmg25025pt;25;180
"Monitor Gamer Samsung 27"", Wide, 75Hz, Full HD, IPS, HDMI, FreeSync, VESA, Preto - LF27T350FHLMZD";R$ 899,99;https://www.kabum.com.br/produto/168358/monitor-gamer-samsung-27-wide-75hz-full-hd-ips-hdmi-freesync-vesa-preto-lf27t350fhlmzd;27;75
"Monitor Gamer Samsung T350, 75Hz, 5Ms, HDMI, 22"" FULL HD Tela Plana, FreeSync, Game Mode";R$ 520,10;https://www.kabum.com.br/produto/254368/monitor-gamer-samsung-t350-75hz-5ms-hdmi-22-full-hd-tela-plana-freesync-game-mode;22;75
Monitor Gamer Asus TUF 24 Full HD, 165Hz, 1ms, IPS, HDMI e DisplayPort, FreeSync Premium, VESA, Som Integrado - VG249Q1A;R$ 1.079,90;https://www.kabum.com.br/produto/476811/monitor-gamer-asus-tuf-24-full-hd-165hz-1ms-ips-hdmi-e-displayport-freesync-premium-vesa-som-integrado-vg249q1a;;165
Monitor Gamer Asus TUF 31.5 LED 2K QHD, 165Hz, 1ms, HDMI e DisplayPort, HDR, 120% sRGB, FreeSync Premium, Som Integrado, VESA - VG32VQ1B;R$ 1.899,00;https://www.kabum.com.br/produto/115238/monitor-gamer-asus-tuf-31-5-led-2k-qhd-165hz-1ms-hdmi-e-displayport-hdr-120-srgb-freesync-premium-som-integrado-vesa-vg32vq1b;;165
"Monitor Gamer Concórdia Curvo, 27"" LED Full HD, 240Hz, 1Ms, 2 HDMI, 2 DP, Freesync Premium SRGB 99% - Cz270f";R$ 999,00;https://www.kabum.com.br/produto/537219/monitor-gamer-concordia-curvo-27-led-full-hd-240hz-1ms-2-hdmi-2-dp-freesync-premium-srgb-99-cz270f;27;240
"Monitor Gamer Acer Nitro Zeroframe, 23.8"" LED Va, 180Hz, 1Ms, HDMI/dp, Full HD, Preto - QG240Y S3bip";R$ 739,90;https://www.kabum.com.br/produto/466559/monitor-gamer-acer-nitro-zeroframe-23-8-led-va-180hz-1ms-hdmi-dp-full-hd-preto-qg240y-s3bip;23.8;180
"Monitor Gamer Samsung Odyssey G3 24"", 144Hz, Full HD, 1ms, DisplayPort e HDMI, FreeSync Premium, Ajuste de Altura, VESA - LS24BG300ELMZD";R$ 1.099,99;https://www.kabum.com.br/produto/405437/monitor-gamer-samsung-odyssey-g3-24-144hz-full-hd-1ms-displayport-e-hdmi-freesync-premium-ajuste-de-altura-vesa-ls24bg300elmzd;24;144
"Monitor Gamer Primetek 27"" LED Full HD, 180Hz, HDMI, DisplayPort - 27h2g";R$ 778,36;https://www.kabum.com.br/produto/378735/monitor-gamer-primetek-27-led-full-hd-180hz-hdmi-displayport-27h2g;27;180
Monitor Gamer LG, 21,5 Full HD, 75Hz, 5Ms, HDMI, VA, Freesync - 22mp410-b;R$ 552,84;https://www.kabum.com.br/produto/399859/monitor-gamer-lg-21-5-full-hd-75hz-5ms-hdmi-va-freesync-22mp410-b;;75
"Monitor Gamer MSI PROMP243XW, 23.8"", 100Hz, Full HD, 1ms, DisplayPort e HDMI, Adaptive-Sync";R$ 799,99;https://www.kabum.com.br/produto/524456/monitor-gamer-msi-promp243xw-23-8-100hz-full-hd-1ms-displayport-e-hdmi-adaptive-sync;23.8;100
"Monitor Gamer Curvo AOC Legend 27"", 240Hz, Full HD, 0.5ms, DisplayPort e HDMI, FreeSync Premium, 120% sRGB - C27G2ZE";R$ 1.599,99;https://www.kabum.com.br/produto/229561/monitor-gamer-curvo-aoc-legend-27-240hz-full-hd-0-5ms-displayport-e-hdmi-freesync-premium-120-srgb-c27g2ze;27;240
"Monitor Gamer AOC Viper, 24"", FULL HD, 165Hz, 1Ms, Freesync, HDMI e DisplayPort - 24g2se";R$ 759,90;https://www.kabum.com.br/produto/381076/monitor-gamer-aoc-viper-24-full-hd-165hz-1ms-freesync-hdmi-e-displayport-24g2se;24;165
"Monitor Gamer Neologic 24"" Vortex , Full Hd, 100hz, Ips, 3ms, HDMI, Com Cabo HDMI, Fonte Bivolt - Nvx100";R$ 559,00;https://www.kabum.com.br/produto/618286/monitor-gamer-neologic-24-vortex-full-hd-100hz-ips-3ms-hdmi-com-cabo-hdmi-fonte-bivolt-nvx100;24;100
Monitor Gamer Gigabyte 24 Full HD, 165Hz, 1ms, IPS, HDMI e DisplayPort, 125% sRGB, HDR, FreeSync, Altura Ajustável - G24F2BR;R$ 1.140,00;https://www.kabum.com.br/produto/396347/monitor-gamer-gigabyte-24-full-hd-165hz-1ms-ips-hdmi-e-displayport-125-srgb-hdr-freesync-altura-ajustavel-g24f2br;;165
"Monitor Gamer Ozone 24.5"" 144Hz, Full HD, 1ms, DisplayPort e HDMI, FreeSync, Preto - OZDSP25FHD";R$ 849,99;https://www.kabum.com.br/produto/114411/monitor-gamer-ozone-24-5-144hz-full-hd-1ms-displayport-e-hdmi-freesync-preto-ozdsp25fhd;24.5;144
"Monitor Gamer Dell Alienware 25"" FULL HD, 360Hz, IPS, 1ms, Freesync, Hub USB, DP, HDMI";R$ 3.149,00;https://www.kabum.com.br/produto/508885/monitor-gamer-dell-alienware-25-full-hd-360hz-ips-1ms-freesync-hub-usb-dp-hdmi;25;360
"Monitor Gamer Curvo Primetek A3l1m, 30"" LED FULL HD, 200HZ, 7ms, Displayport, HDMI";R$ 1.126,65;https://www.kabum.com.br/produto/477138/monitor-gamer-curvo-primetek-a3l1m-30-led-full-hd-200hz-7ms-displayport-hdmi;30;
"Monitor Gamer PCFort 27"" Led Full HD, HDMI, DVI, 165Hz, 1ms, Display Port, VESA - T2701-165";R$ 738,65;https://www.kabum.com.br/produto/481502/monitor-gamer-pcfort-27-led-full-hd-hdmi-dvi-165hz-1ms-display-port-vesa-t2701-165;27;165
"Monitor Gamer LG 23.8"" Led Full HD, IPS, 1ms, 75Hz, HDMI, VGA Vesa, Preto, Bivolt - 24ML600M-B.AWZM";R$ 599,90;https://www.kabum.com.br/produto/311766/monitor-gamer-lg-23-8-led-full-hd-ips-1ms-75hz-hdmi-vga-vesa-preto-bivolt-24ml600m-b-awzm;23.8;75
Monitor Gamer LG Ultragear, 24”, LED, 180Hz, 1ms, DisplayPort, HDMI, AMD Freesync, HDR10 - 24gs60f-b;R$ 1.029,90;https://www.kabum.com.br/produto/617865/monitor-gamer-lg-ultragear-24-led-180hz-1ms-displayport-hdmi-amd-freesync-hdr10-24gs60f-b;24;180
"Monitor Gamer Curvo Concórdia 27"", 200Hz, Full HD, 1ms, DisplayPort e HDMI, R1500, FreeSync, Som Integrado, Preto - CZ270F";R$ 889,99;https://www.kabum.com.br/produto/365024/monitor-gamer-curvo-concordia-27-200hz-full-hd-1ms-displayport-e-hdmi-r1500-freesync-som-integrado-preto-cz270f;27;200
"Monitor Gamer Curvo Acer ED270 X2BMIIPX Nitro, 27"" LED FULL HD, 240Hz 1ms, DisplayPort e HDMI - UM.HE0AA.204";R$ 1.669,99;https://www.kabum.com.br/produto/619685/monitor-gamer-curvo-acer-ed270-x2bmiipx-nitro-27-led-full-hd-240hz-1ms-displayport-e-hdmi-um-he0aa-204;27;240
"Monitor Gamer Samsung T350, 27"" FHD, 75Hz, 5Ms, HDMI, FreeSync, Game Mode - Lf27t350fhlmzd";R$ 739,90;https://www.kabum.com.br/produto/275838/monitor-gamer-samsung-t350-27-fhd-75hz-5ms-hdmi-freesync-game-mode-lf27t350fhlmzd;27;75
"Monitor Gamer MSI MAG401QR, 40"", 155Hz, UWQHD, 1ms, DisplayPort e HDMI, HDR, Adaptive-Sync";R$ 3.799,99;https://www.kabum.com.br/produto/524454/monitor-gamer-msi-mag401qr-40-155hz-uwqhd-1ms-displayport-e-hdmi-hdr-adaptive-sync;40;155
"Monitor Gamer Curvo Samsung Odyssey 49"" OLED, Super Ultrawide, 240Hz, 0.03ms, DisplayPort, HDMI, Freesync Premium, Prata - LS49CG930SLMZD";R$ 8.699,00;https://www.kabum.com.br/produto/613319/monitor-gamer-curvo-samsung-odyssey-49-oled-super-ultrawide-240hz-0-03ms-displayport-hdmi-freesync-premium-prata-ls49cg930slmzd;49;240
"Monitor Gamer BRX, LED, Tela 21"", 60Hz, HDMI, VGA, Widescreen";R$ 457,52;https://www.kabum.com.br/produto/524084/monitor-gamer-brx-led-tela-21-60hz-hdmi-vga-widescreen;21;60
"Monitor Gamer Acer Predator 27"", 280Hz, Full HD, 1ms, IPS, DisplayPort e HDMI, HDR, Ajuste de Altura, VESA, Som Integrado, G-Sync - XB273";R$ 1.999,99;https://www.kabum.com.br/produto/381323/monitor-gamer-acer-predator-27-280hz-full-hd-1ms-ips-displayport-e-hdmi-hdr-ajuste-de-altura-vesa-som-integrado-g-sync-xb273;27;280
"Monitor Gamer Samsung Odyssey G4 25"", 240Hz, Full HD, 1ms, IPS, DisplayPort e HDMI, 99% sRGB, HDR, FreeSync Premium - LS25BG400ELXZD";R$ 1.899,99;https://www.kabum.com.br/produto/365999/monitor-gamer-samsung-odyssey-g4-25-240hz-full-hd-1ms-ips-displayport-e-hdmi-99-srgb-hdr-freesync-premium-ls25bg400elxzd;25;240
"Monitor Gamer AsRock 24.5"", 100Hz, Full HD, 1ms, IPS, DisplayPort e HDMI, FreeSync, 99% sRGB - CL25FF";R$ 699,99;https://www.kabum.com.br/produto/514498/monitor-gamer-asrock-24-5-100hz-full-hd-1ms-ips-displayport-e-hdmi-freesync-99-srgb-cl25ff;24.5;100
"Monitor Gamer ASUS TUF VG279Q3A 27"" Full HD, 180Hz, 1ms, IPS, DisplayPort e HDMI, FreeSync Premium, G-Sync, 99% sRGB - 90LM0990-B011B0";R$ 1.249,00;https://www.kabum.com.br/produto/534721/monitor-gamer-asus-tuf-vg279q3a-27-full-hd-180hz-1ms-ips-displayport-e-hdmi-freesync-premium-g-sync-99-srgb-90lm0990-b011b0;27;180
"Monitor Gamer Corsair Xeneon 27"" OLED, 240Hz, QHD, 0.03ms, HDR, G-Sync e FreeSync Premium, Preto - CM-9030002-NA";R$ 5.200,00;https://www.kabum.com.br/produto/478725/monitor-gamer-corsair-xeneon-27-oled-240hz-qhd-0-03ms-hdr-g-sync-e-freesync-premium-preto-cm-9030002-na;27;240
"Monitor Gamer LG Ultragear, 23.8"" Full HD HDR, 144hz, 1ms, IPS, Freesync, HDMI, DP, Preto - 24GN60R-B";R$ 998,99;https://www.kabum.com.br/produto/457032/monitor-gamer-lg-ultragear-23-8-full-hd-hdr-144hz-1ms-ips-freesync-hdmi-dp-preto-24gn60r-b;23.8;144
"Monitor Gamer UltraWide LG, 27"", 100Hz, 5ms, HDMI - 27ms500-b";R$ 763,38;https://www.kabum.com.br/produto/619753/monitor-gamer-ultrawide-lg-27-100hz-5ms-hdmi-27ms500-b;27;100
Monitor Gamer ASUS ROG Swift Pro PG248QP, 24.1 FHD, 540Hz, NVIDIA G-Sync esports, Esports-TN panel - 90LM08T0-B013X0;R$ 7.299,99;https://www.kabum.com.br/produto/518332/monitor-gamer-asus-rog-swift-pro-pg248qp-24-1-fhd-540hz-nvidia-g-sync-esports-esports-tn-panel-90lm08t0-b013x0;;540
Monitor Gamer Alienware, 27 Polegadas QHD - Aw2724dm;R$ 3.010,55;https://www.kabum.com.br/produto/508965/monitor-gamer-alienware-27-polegadas-qhd-aw2724dm;;
